Kategorie-ID;Erstellungsdatum;Shoppingwelt;"Unterkategorie 1";"Unterkategorie 2";"Unterkategorie 3";"Unterkategorie 4";"Unterkategorie 5";"Unterkategorie 6"
7956;05.11.2009;"Auto & Motorrad";"Autopflege & Motorradpflege"
1010;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";"Bremsen & Bremsenteile"
79459;14.09.2016;"Auto & Motorrad";"Autoteile & Zubehör";"Cabrioverdecke & -zubehör"
77881;23.01.2014;"Auto & Motorrad";"Autoteile & Zubehör";Dachboxen
1011;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Dachgepäckträger
1012;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Dichtungen
1013;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Exterieur
48956;04.05.2011;"Auto & Motorrad";"Autoteile & Zubehör";Fahrradträger;"Fahrrad Kupplungsträger"
48961;04.05.2011;"Auto & Motorrad";"Autoteile & Zubehör";Fahrradträger;Fahrradheckträger
6537;25.02.2009;"Auto & Motorrad";"Autoteile & Zubehör";"Fahrzeugspezifische Kfz-Halterungen"
1015;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";"Federung & Dämpfung"
1016;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Filter
80230;22.11.2017;"Auto & Motorrad";"Autoteile & Zubehör";"Fun Schilder"
54076;14.06.2011;"Auto & Motorrad";"Autoteile & Zubehör";Gasfeder
1018;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";"Getriebe &  Hydrauliköl"
1020;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";"Innen & Aussenspiegel"
1019;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Innendekore
1021;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Inspektions-Pakete
1022;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Interieur
76421;10.07.2013;"Auto & Motorrad";"Autoteile & Zubehör";"Karosserieteile & Anbau";Unterfahrschutz
76416;10.07.2013;"Auto & Motorrad";"Autoteile & Zubehör";"Karosserieteile & Anbau";Radlaufleisten
76426;10.07.2013;"Auto & Motorrad";"Autoteile & Zubehör";"Karosserieteile & Anbau";Radhausschalen
1024;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Katalysatoren
48281;18.04.2011;"Auto & Motorrad";"Autoteile & Zubehör";Kennzeichenhalter
80220;22.11.2017;"Auto & Motorrad";"Autoteile & Zubehör";"KFZ Schilder"
66780;12.01.2012;"Auto & Motorrad";"Autoteile & Zubehör";Klorollenüberzüge
1026;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Kupplungen
1027;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Kühlung
1029;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Laderaumwannen
74291;26.04.2013;"Auto & Motorrad";"Autoteile & Zubehör";Ladungssicherheit
1030;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Lenkräder
1031;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";"Lenkung & Aufhängung"
1032;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";"Lichter & Leuchten"
1033;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Lichtmaschinen
1034;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";"Motor & Antrieb"
1035;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Motoröle
80225;22.11.2017;"Auto & Motorrad";"Autoteile & Zubehör";Parkplatzschilder
1036;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Rückfahrsysteme
1037;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Scheibenreinigung
1038;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";"Schmiermittel & Fette"
76970;02.09.2013;"Auto & Motorrad";"Autoteile & Zubehör";Schmutzfänger
1039;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Sitzbezüge
1040;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Sonnenschutz
80235;22.11.2017;"Auto & Motorrad";"Autoteile & Zubehör";"Sonstige Schilder"
1041;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Standheizungen
57701;17.08.2011;"Auto & Motorrad";"Autoteile & Zubehör";Tagfahrlichter
1042;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Zentralverriegelung
1043;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";"Sonstiges Autozubehör"
1045;15.05.2008;"Auto & Motorrad";"HiFi für das Auto";Antennen
61871;07.10.2011;"Auto & Motorrad";"HiFi für das Auto";"Autoradios & Zubehör";"Autoradios mit Bluetooth"
61851;07.10.2011;"Auto & Motorrad";"HiFi für das Auto";"Autoradios & Zubehör";"Autoradios mit CD"
78976;05.11.2014;"Auto & Motorrad";"HiFi für das Auto";"Autoradios & Zubehör";"Autoradios mit DAB"
61856;07.10.2011;"Auto & Motorrad";"HiFi für das Auto";"Autoradios & Zubehör";"Autoradios mit DVD"
61861;07.10.2011;"Auto & Motorrad";"HiFi für das Auto";"Autoradios & Zubehör";"Autoradios mit MP3"
61866;07.10.2011;"Auto & Motorrad";"HiFi für das Auto";"Autoradios & Zubehör";"Autoradios mit USB"
34176;28.01.2011;"Auto & Motorrad";"HiFi für das Auto";"Autoradios & Zubehör";"FM Transmitter"
61876;07.10.2011;"Auto & Motorrad";"HiFi für das Auto";"Autoradios & Zubehör";"Multifunktions Autoradios"
78971;04.11.2014;"Auto & Motorrad";"HiFi für das Auto";"Autoradios & Zubehör";Radioblenden
1047;15.05.2008;"Auto & Motorrad";"HiFi für das Auto";CD-Wechsler
1050;15.05.2008;"Auto & Motorrad";"HiFi für das Auto";"Kabel & Stecker"
1049;15.05.2008;"Auto & Motorrad";"HiFi für das Auto";Komplettanlagen
1051;15.05.2008;"Auto & Motorrad";"HiFi für das Auto";"Lautsprecher & Subwoofer"
1052;15.05.2008;"Auto & Motorrad";"HiFi für das Auto";"Verstärker & Equalizer"
1054;15.05.2008;"Auto & Motorrad";"HiFi für das Auto";"Sonstiges HiFi für das Auto"
53081;31.05.2011;"Auto & Motorrad";"LKW & Bus"
1058;15.05.2008;"Auto & Motorrad";Motorradbekleidung;Hosen
1059;15.05.2008;"Auto & Motorrad";Motorradbekleidung;Jacken
1060;15.05.2008;"Auto & Motorrad";Motorradbekleidung;Kombis
1056;15.05.2008;"Auto & Motorrad";Motorradbekleidung;"Motorrad Handschuhe"
1061;15.05.2008;"Auto & Motorrad";Motorradbekleidung;Motorradbrillen
1057;15.05.2008;"Auto & Motorrad";Motorradbekleidung;Motorradhelme
1062;15.05.2008;"Auto & Motorrad";Motorradbekleidung;Nierengurte
1063;15.05.2008;"Auto & Motorrad";Motorradbekleidung;Protektoren
1064;15.05.2008;"Auto & Motorrad";Motorradbekleidung;Regenbekleidung
1065;15.05.2008;"Auto & Motorrad";Motorradbekleidung;"Schuhe & Stiefel"
1066;15.05.2008;"Auto & Motorrad";Motorradbekleidung;"Sturmhauben & Halswärmer"
1067;15.05.2008;"Auto & Motorrad";Motorradbekleidung;"Sonstige Motorradbekleidung"
1070;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Auspuffanlagen & Co"
1072;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Bremsanlagen & Bremsteile"
1073;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Elektrik & Zündung"
1074;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Fahrwerk & Federung"
1075;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Ketten, Ritzel & Kits"
1076;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Koffer & Gepäck"
1077;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Lenker & Co"
1080;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";Luftfilter
1081;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Motoren & Motorteile"
1069;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Motorrad Accessoires"
1071;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Motorrad Batterien "
1078;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Motorrad Lichter & Leuchten"
1079;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Motorrad Literatur"
1083;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Motorrad Motortuning"
1085;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Motorrad Reifen & Felgen"
1086;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Motorrad Spiegel"
1082;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";Motorradschlösser
1090;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";Motorradzubehör
1084;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Pflege & Co"
1087;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Verkleidungen & Karosserie"
1088;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";Windschutzscheiben
1091;15.05.2008;"Auto & Motorrad";"Motorradteile & Zubehör";"Sonstiges für Motorräder"
3430;16.05.2008;"Auto & Motorrad";Motorräder
3547;18.05.2008;"Auto & Motorrad";Navigationssysteme;"Navigationssoftware & Karten"
3552;18.05.2008;"Auto & Motorrad";Navigationssysteme;Navigationssystem
78301;28.05.2014;"Auto & Motorrad";Navigationssysteme;Navigationszubehör;"Displayschutzfolien für Navigationssysteme"
3549;18.05.2008;"Auto & Motorrad";Navigationssysteme;"Sonstiges für Navigationssysteme"
80675;03.12.2018;"Auto & Motorrad";Nutzfahrzeuge;"Pickup Zubehör";"Pickup Hardtops"
80680;03.12.2018;"Auto & Motorrad";Nutzfahrzeuge;"Pickup Zubehör";"Pickup Laderaumabdeckungen"
80670;03.12.2018;"Auto & Motorrad";Nutzfahrzeuge;"Pickup Zubehör";"Pickup Laderaumwannen"
80685;03.12.2018;"Auto & Motorrad";Nutzfahrzeuge;"Pickup Zubehör";"Pickup LEDs"
80690;04.12.2018;"Auto & Motorrad";Nutzfahrzeuge;"Pickup Zubehör";"sonstiges Pickup Zubehör"
3433;16.05.2008;"Auto & Motorrad";"Quads & Minibikes";"Minibikes & Kinder-Motorrad"
3431;16.05.2008;"Auto & Motorrad";"Quads & Minibikes";"Quads & ATV "
77966;17.02.2014;"Auto & Motorrad";"Quads & Minibikes";"Quad & ATV Zubehör";"Quad Ersatz- und Anbauteile";"Quad Auspuff & Motor"
77971;17.02.2014;"Auto & Motorrad";"Quads & Minibikes";"Quad & ATV Zubehör";"Quad Ersatz- und Anbauteile";"Quad Blinker & Spiegel"
77961;17.02.2014;"Auto & Motorrad";"Quads & Minibikes";"Quad & ATV Zubehör";"Quad Ersatz- und Anbauteile";"Quad Fahrwerk & Bremsen"
77976;17.02.2014;"Auto & Motorrad";"Quads & Minibikes";"Quad & ATV Zubehör";"Quad Ersatz- und Anbauteile";"Quad Koffer & Topcase"
77981;17.02.2014;"Auto & Motorrad";"Quads & Minibikes";"Quad & ATV Zubehör";"Quad Ersatz- und Anbauteile";"Sonstige Quad Ersatz- und Anbauteile"
77946;17.02.2014;"Auto & Motorrad";"Quads & Minibikes";"Quad & ATV Zubehör";"Quad Reifen"
77951;17.02.2014;"Auto & Motorrad";"Quads & Minibikes";"Quad & ATV Zubehör";"Quad Schutzausrüstung"
74030;26.03.2013;"Auto & Motorrad";"Reifen & Felgen";Reifenhüllen
74035;26.03.2013;"Auto & Motorrad";"Reifen & Felgen";Reifensäcke
1093;15.05.2008;"Auto & Motorrad";"Reifen & Felgen";"Allwetterreifen & Ganzjahresreifen"
1094;15.05.2008;"Auto & Motorrad";"Reifen & Felgen";Alufelgen
1095;15.05.2008;"Auto & Motorrad";"Reifen & Felgen";"Kompletträder Sommer"
1096;15.05.2008;"Auto & Motorrad";"Reifen & Felgen";"Kompletträder Winter"
1097;15.05.2008;"Auto & Motorrad";"Reifen & Felgen";Radkappen
1098;15.05.2008;"Auto & Motorrad";"Reifen & Felgen";Schneeketten
1099;15.05.2008;"Auto & Motorrad";"Reifen & Felgen";Sommerreifen
1101;15.05.2008;"Auto & Motorrad";"Reifen & Felgen";Winterreifen
1100;15.05.2008;"Auto & Motorrad";"Reifen & Felgen";Stahlfelgen
80300;12.01.2018;"Auto & Motorrad";"Reifen & Felgen";Reifenzubehör;Reifenschutz
77755;19.11.2013;"Auto & Motorrad";"Reifen & Felgen";Felgenzubehör
48616;28.04.2011;"Auto & Motorrad";Roller;Motorroller
5911;29.12.2008;"Auto & Motorrad";Roller;Antriebsriemen
5886;19.12.2008;"Auto & Motorrad";Roller;Auspuffanlagen
5259;24.09.2008;"Auto & Motorrad";Roller;"Roller Batterien"
7682;20.05.2009;"Auto & Motorrad";Roller;Benzinschläuche
5261;24.09.2008;"Auto & Motorrad";Roller;Blinkergläser
5891;19.12.2008;"Auto & Motorrad";Roller;Bremsbacken
5262;24.09.2008;"Auto & Motorrad";Roller;"Bremsbeläge & Bremsscheiben"
5231;03.09.2008;"Auto & Motorrad";Roller;"China Moto Parts"
5240;10.09.2008;"Auto & Motorrad";Roller;Chromzubehör
5926;29.12.2008;"Auto & Motorrad";Roller;Dichtungssätze
5727;21.11.2008;"Auto & Motorrad";Roller;"Drosselsätze "
5263;24.09.2008;"Auto & Motorrad";Roller;Elektrik
5342;15.10.2008;"Auto & Motorrad";Roller;Federbeine
5238;10.09.2008;"Auto & Motorrad";Roller;Glühlampen
5225;03.09.2008;"Auto & Motorrad";Roller;Handgriffe
5253;19.09.2008;"Auto & Motorrad";Roller;Helme
5239;10.09.2008;"Auto & Motorrad";Roller;"Koffer & TopCase"
5921;29.12.2008;"Auto & Motorrad";Roller;Kolben
76441;25.07.2013;"Auto & Motorrad";Roller;Elektroroller
18586;12.10.2010;"Auto & Motorrad";Roller;"Kupplung & Variomatik"
5343;15.10.2008;"Auto & Motorrad";Roller;Kurbelwellen
5241;10.09.2008;"Auto & Motorrad";Roller;Lagersätze
5229;03.09.2008;"Auto & Motorrad";Roller;"Roller Luftfilter"
5265;24.09.2008;"Auto & Motorrad";Roller;Membrane
18571;12.10.2010;"Auto & Motorrad";Roller;Merchandise
5260;24.09.2008;"Auto & Motorrad";Roller;Ansaugstutzen
5896;19.12.2008;"Auto & Motorrad";Roller;Optikparts
7677;20.05.2009;"Auto & Motorrad";Roller;Reifen
7697;20.05.2009;"Auto & Motorrad";Roller;Rücklichter
7692;20.05.2009;"Auto & Motorrad";Roller;"Roller Scheinwerfer"
5224;03.09.2008;"Auto & Motorrad";Roller;Schlosssätze
5254;19.09.2008;"Auto & Motorrad";Roller;"Schlösser & Diebstahlsicherung"
5232;03.09.2008;"Auto & Motorrad";Roller;"Sonstiges Roller-Zubehör"
5227;03.09.2008;"Auto & Motorrad";Roller;Spiegel
5264;24.09.2008;"Auto & Motorrad";Roller;Startermotoren
18581;12.10.2010;"Auto & Motorrad";Roller;Ständer
18951;15.10.2010;"Auto & Motorrad";Roller;Tachowellenantrieb
7687;20.05.2009;"Auto & Motorrad";Roller;Tuning-Parts
5226;03.09.2008;"Auto & Motorrad";Roller;Variorollen
18346;08.10.2010;"Auto & Motorrad";Roller;"Vergaser & Einlass"
18341;07.10.2010;"Auto & Motorrad";Roller;Verkleidungen
5906;19.12.2008;"Auto & Motorrad";Roller;Vespa-Teile
5901;19.12.2008;"Auto & Motorrad";Roller;"Roller Werkzeuge"
5222;03.09.2008;"Auto & Motorrad";Roller;"Zylinderkits & Dichtsätze"
5223;03.09.2008;"Auto & Motorrad";Roller;Zündkerzen
5230;03.09.2008;"Auto & Motorrad";Roller;"Öl- u. Pflegemittel"
5228;03.09.2008;"Auto & Motorrad";Roller;Ölfilter
1104;15.05.2008;"Auto & Motorrad";"Tuning & Styling";"Aufkleber, Folie & Schriftzug"
3792;20.05.2008;"Auto & Motorrad";"Tuning & Styling";Auto-Sitzbezüge
1105;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Body-Styling
1106;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Chiptuning
1107;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Domstreben
1108;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Einarmwischer
1109;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Einstiegsleisten
1110;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Endrohre
1111;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Flügeltüren
1112;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Gewindefahrwerke
1113;15.05.2008;"Auto & Motorrad";"Tuning & Styling";"Innenbeleuchtung & LEDs"
1114;15.05.2008;"Auto & Motorrad";"Tuning & Styling";"Innendekor für das Auto"
1115;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Lackierung
1116;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Luftfahrwerke
1117;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Motortuning
1118;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Rückleuchten
62096;25.10.2011;"Auto & Motorrad";"Tuning & Styling";"Schaltknäufe & Manschetten"
1119;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Scheinwerfer
1120;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Spoiler
1121;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Sportauspuff
1122;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Sportfahrwerke
1123;15.05.2008;"Auto & Motorrad";"Tuning & Styling";"Sportfedern & Tieferlegung"
1124;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Sportgrills
1125;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Sportgurte
1126;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Sportlenkräder
1127;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Sportluftfilter
1128;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Sportsitze
1129;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Spurverbreiterung
1130;15.05.2008;"Auto & Motorrad";"Tuning & Styling";"Tönungsfolien passgenau"
1131;15.05.2008;"Auto & Motorrad";"Tuning & Styling";"Tönungsfolien universell"
1132;15.05.2008;"Auto & Motorrad";"Tuning & Styling";Ventilkappen
41236;04.03.2011;"Auto & Motorrad";"Tuning & Styling";Windabweiser
1133;15.05.2008;"Auto & Motorrad";"Tuning & Styling";"Sonstiges Tuning-Zubehör"
7772;29.05.2009;"Auto & Motorrad";"Wagenheber & Getriebeheber"
1134;15.05.2008;"Auto & Motorrad";"Werkzeug & Werkstatt"
72820;05.11.2012;"Auto & Motorrad";"Autohersteller Merchandising"
80240;23.11.2017;"Auto & Motorrad";E-Bikes
76286;05.06.2013;"Auto & Motorrad";Pannenhilfe;Warnwesten
76306;05.06.2013;"Auto & Motorrad";Pannenhilfe;"KFZ Verbandskasten"
76291;05.06.2013;"Auto & Motorrad";Pannenhilfe;Warndreiecke
76301;05.06.2013;"Auto & Motorrad";Pannenhilfe;Abschleppstangen
76296;05.06.2013;"Auto & Motorrad";Pannenhilfe;Abschleppseile
78986;26.11.2014;"Auto & Motorrad";Schutzkleidung
77165;10.09.2013;"Auto & Motorrad";Verkehrssicherheit
3488;16.05.2008;"Baby & Kind";"Stillen & Babynahrung";Stillen;Stillkissen
53576;07.06.2011;"Baby & Kind";"Stillen & Babynahrung";Stillen;Stilleinlagen
53591;07.06.2011;"Baby & Kind";"Stillen & Babynahrung";Stillen;Stillhütchen
53581;07.06.2011;"Baby & Kind";"Stillen & Babynahrung";Stillen;Stillkleider
53571;07.06.2011;"Baby & Kind";"Stillen & Babynahrung";Stillen;Stilltee
53616;08.06.2011;"Baby & Kind";"Stillen & Babynahrung";Stillen;Milchpumpen
53796;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";Stillen;Stillsessel
53596;07.06.2011;"Baby & Kind";"Stillen & Babynahrung";Stillen;"Weitere Stillhilfen"
53671;08.06.2011;"Baby & Kind";"Stillen & Babynahrung";Babyflaschen;Babyfläschchen
53686;08.06.2011;"Baby & Kind";"Stillen & Babynahrung";Babyflaschen;"Fläschchen Set"
53681;08.06.2011;"Baby & Kind";"Stillen & Babynahrung";Babyflaschen;Flaschensauger
53676;08.06.2011;"Baby & Kind";"Stillen & Babynahrung";Babyflaschen;Babyflaschenhalter
53691;08.06.2011;"Baby & Kind";"Stillen & Babynahrung";Babyflaschen;"Babyflaschen Zubehör"
53211;06.06.2011;"Baby & Kind";"Stillen & Babynahrung";Babyflaschen;Isoliertaschen
53561;07.06.2011;"Baby & Kind";"Stillen & Babynahrung";Babynahrung;Milchnahrung;Anfangsmilch
53556;07.06.2011;"Baby & Kind";"Stillen & Babynahrung";Babynahrung;Milchnahrung;Folgemilch
53531;07.06.2011;"Baby & Kind";"Stillen & Babynahrung";Babynahrung;"Baby Spezialnahrung"
53526;07.06.2011;"Baby & Kind";"Stillen & Babynahrung";Babynahrung;"Milchfreie Babynahrung"
53536;07.06.2011;"Baby & Kind";"Stillen & Babynahrung";Babynahrung;Babybreie
53546;07.06.2011;"Baby & Kind";"Stillen & Babynahrung";Babynahrung;Babykekse
53541;07.06.2011;"Baby & Kind";"Stillen & Babynahrung";Babynahrung;Babytee
53551;07.06.2011;"Baby & Kind";"Stillen & Babynahrung";Babynahrung;"Weitere Beikost"
53766;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Babynahrung Zubehör";Babykostwärmer
53781;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Babynahrung Zubehör";"Babynahrung Behälter"
53786;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Babynahrung Zubehör";Fläschchenkühler
53791;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Babynahrung Zubehör";Milchpulverspender
53771;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Babynahrung Zubehör";Sterilisatoren
53776;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Babynahrung Zubehör";Vaporisatoren
53751;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Kinder Geschirr & Kinder Besteck";"Baby Schälchen"
53731;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Kinder Geschirr & Kinder Besteck";"Kinderlöffel & Babylöffel"
53696;08.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Kinder Geschirr & Kinder Besteck";"Trinklernbecher & Trinklernflasche";Trinklernbecher
53701;08.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Kinder Geschirr & Kinder Besteck";"Trinklernbecher & Trinklernflasche";Trinklernflasche
53706;08.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Kinder Geschirr & Kinder Besteck";"Trinklernbecher & Trinklernflasche";Trinklerngriff
53716;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Kinder Geschirr & Kinder Besteck";Kindertassen
53736;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Kinder Geschirr & Kinder Besteck";Kinderbecher
53711;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Kinder Geschirr & Kinder Besteck";Kinderteller
53721;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Kinder Geschirr & Kinder Besteck";"Kindergeschirr Set"
53726;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Kinder Geschirr & Kinder Besteck";"Kinderbesteck Set"
53746;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Kinder Geschirr & Kinder Besteck";Kinderbrettchen
53761;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Kinder Geschirr & Kinder Besteck";"Kindertabletts & Tischsets"
53756;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Kinder Geschirr & Kinder Besteck";"Kinder Eierbecher"
53741;09.06.2011;"Baby & Kind";"Stillen & Babynahrung";"Kinder Geschirr & Kinder Besteck";"Weiteres Kindergeschirr"
53201;03.06.2011;"Baby & Kind";"Stillen & Babynahrung";Lätzchen
53206;03.06.2011;"Baby & Kind";"Stillen & Babynahrung";Spucktücher
51221;20.05.2011;"Baby & Kind";"Kindergesundheit & Babypflege";"Baby Pflege";"Kinder Cremes"
53991;10.06.2011;"Baby & Kind";"Kindergesundheit & Babypflege";"Baby Pflege";Babyöle
53996;10.06.2011;"Baby & Kind";"Kindergesundheit & Babypflege";"Baby Pflege";"Baby Lotions"
54011;10.06.2011;"Baby & Kind";"Kindergesundheit & Babypflege";"Baby Pflege";"Baby Puder"
54016;10.06.2011;"Baby & Kind";"Kindergesundheit & Babypflege";"Baby Pflege";Wundschutzcremes
53986;10.06.2011;"Baby & Kind";"Kindergesundheit & Babypflege";"Baby Pflege";Feuchttücher
