"order_date",category,sku,"taxful_total_price","total_quantity"
"2019-11-11T11:38:24.000Z","[""Women's Clothing"",""Women's Accessories"",""Women's Shoes""]","[""ZO0501605016"",""ZO0189601896"",""ZO0363003630"",""ZO0699306993""]","282.96",4
"2019-11-11T11:38:24.000Z","[""Men's Clothing""]","[""ZO0436604366"",""ZO0280302803""]","35.98",2
"2019-11-11T11:38:24.000Z","[""Men's Clothing"",""Men's Accessories""]","[""ZO0410804108"",""ZO0309303093""]","24.98",2
"2019-11-11T11:21:07.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0673406734"",""ZO0165601656""]","101.98",2
"2019-11-11T11:13:55.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0138001380"",""ZO0648006480"",""ZO0193501935"",""ZO0228402284""]","85.96",4
"2019-11-11T11:03:50.000Z","[""Women's Accessories"",""Women's Clothing""]","[""ZO0190701907"",""ZO0654806548""]","33.98",2
"2019-11-11T11:02:24.000Z","[""Women's Clothing""]","[""ZO0270602706"",""ZO0269502695""]","83.98",2
"2019-11-11T10:59:31.000Z","[""Men's Clothing"",""Men's Accessories""]","[""ZO0129001290"",""ZO0310103101"",""ZO0547805478"",""ZO0560805608""]","48.96",4
"2019-11-11T10:37:55.000Z","[""Women's Clothing""]","[""ZO0155001550"",""ZO0072100721""]","45.98",2
"2019-11-11T10:33:36.000Z","[""Men's Shoes""]","[""ZO0515005150"",""ZO0509805098""]","58.98",2
"2019-11-11T10:19:12.000Z","[""Women's Clothing""]","[""ZO0266102661"",""ZO0169701697""]","50.98",2
"2019-11-11T10:17:46.000Z","[""Men's Clothing"",""Women's Accessories""]","[""ZO0423004230"",""ZO0292702927"",""ZO0320003200"",""ZO0318303183""]","90.96",4
"2019-11-11T10:14:53.000Z","[""Women's Accessories"",""Men's Clothing""]","[""ZO0466104661"",""ZO0444104441""]","60.98",2
"2019-11-11T09:56:10.000Z","[""Men's Clothing""]","[""ZO0125401254"",""ZO0123701237""]","61.98",2
"2019-11-11T09:27:22.000Z","[""Men's Clothing""]","[""ZO0417504175"",""ZO0535205352""]","45.98",2
"2019-11-11T09:05:46.000Z","[""Women's Clothing"",""Women's Accessories""]","[""ZO0343703437"",""ZO0207102071""]","53.98",2
"2019-11-11T08:51:22.000Z","[""Women's Clothing""]","[""ZO0215702157"",""ZO0638806388""]","15.98",2
"2019-11-11T08:39:50.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0031700317"",""ZO0157701577""]","26.98",2
"2019-11-11T08:32:38.000Z","[""Men's Clothing"",""Men's Shoes""]","[""ZO0557905579"",""ZO0513705137""]","33.98",2
"2019-11-11T08:28:19.000Z","[""Women's Accessories"",""Women's Clothing""]","[""ZO0306803068"",""ZO0174601746""]","74.98",2
"2019-11-11T08:19:41.000Z","[""Women's Accessories"",""Women's Clothing""]","[""ZO0081500815"",""ZO0342603426""]","40.98",2
"2019-11-11T08:16:48.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0712807128"",""ZO0007500075""]","53.98",2
"2019-11-11T07:58:05.000Z","[""Women's Clothing""]","[""ZO0343103431"",""ZO0345803458""]","62.98",2
"2019-11-11T07:49:26.000Z","[""Men's Clothing""]","[""ZO0458004580"",""ZO0273402734""]","55.98",2
"2019-11-11T07:48:00.000Z","[""Men's Clothing""]","[""ZO0414304143"",""ZO0425204252""]","51.98",2
"2019-11-11T07:40:48.000Z","[""Women's Clothing""]","[""ZO0504505045"",""ZO0223802238""]","70.98",2
"2019-11-11T07:17:46.000Z","[""Men's Clothing"",""Men's Accessories""]","[""ZO0291402914"",""ZO0603006030""]","216.98",2
"2019-11-11T07:17:46.000Z","[""Men's Shoes""]","[""ZO0513205132"",""ZO0258202582""]","89.98",2
"2019-11-11T07:13:26.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0486404864"",""ZO0248602486""]","95.98",2
"2019-11-11T07:10:34.000Z","[""Women's Accessories"",""Women's Shoes""]","[""ZO0302303023"",""ZO0246602466""]","107.98",2
"2019-11-11T07:09:07.000Z","[""Women's Clothing""]","[""ZO0656406564"",""ZO0495504955""]","27.98",2
"2019-11-11T06:50:24.000Z","[""Men's Shoes"",""Men's Accessories""]","[""ZO0253302533"",""ZO0605706057""]","89.98",2
"2019-11-11T06:46:05.000Z","[""Women's Clothing""]","[""ZO0336503365"",""ZO0637006370""]","57.98",2
"2019-11-11T06:44:38.000Z","[""Women's Clothing""]","[""ZO0498904989"",""ZO0641706417""]","28.98",2
"2019-11-11T06:28:48.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0507705077"",""ZO0409804098""]","27.98",2
"2019-11-11T06:25:55.000Z","[""Men's Clothing"",""Men's Accessories""]","[""ZO0573205732"",""ZO0310303103""]","39.98",2
"2019-11-11T06:21:36.000Z","[""Women's Accessories"",""Women's Clothing""]","[""ZO0081800818"",""ZO0485604856""]","37.98",2
"2019-11-11T06:11:31.000Z","[""Men's Clothing"",""Men's Shoes""]","[""ZO0618706187"",""ZO0388503885""]","68.98",2
"2019-11-11T05:42:43.000Z","[""Women's Clothing""]","[""ZO0631606316"",""ZO0045300453""]","68.98",2
"2019-11-11T05:39:50.000Z","[""Women's Accessories""]","[""ZO0193901939"",""ZO0080400804""]","25.98",2
"2019-11-11T05:31:12.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0386303863"",""ZO0561905619"",""ZO0397903979"",""ZO0590105901""]","132.96",4
"2019-11-11T05:02:24.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0403504035"",""ZO0113301133""]","82.98",2
"2019-11-11T04:52:19.000Z","[""Women's Clothing""]","[""ZO0332903329"",""ZO0159401594""]","63.98",2
"2019-11-11T04:42:14.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0683806838"",""ZO0429204292""]","106.98",2
"2019-11-11T04:30:43.000Z","[""Men's Shoes""]","[""ZO0395303953"",""ZO0386703867""]","119.98",2
"2019-11-11T04:16:19.000Z","[""Men's Clothing""]","[""ZO0437604376"",""ZO0618906189""]","30.98",2
"2019-11-11T04:13:26.000Z","[""Men's Clothing""]","[""ZO0576305763"",""ZO0116801168""]","41.98",2
"2019-11-11T04:07:41.000Z","[""Men's Clothing""]","[""ZO0567505675"",""ZO0442104421""]","22.98",2
"2019-11-11T03:48:58.000Z","[""Women's Clothing""]","[""ZO0224302243"",""ZO0359103591""]","43.98",2
"2019-11-11T03:44:38.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0486804868"",""ZO0371603716""]","79.98",2
"2019-11-11T03:31:41.000Z","[""Women's Clothing""]","[""ZO0660406604"",""ZO0484504845""]","99.98",2
"2019-11-11T03:08:38.000Z","[""Women's Clothing""]","[""ZO0653406534"",""ZO0049300493""]","66.98",2
"2019-11-11T03:04:19.000Z","[""Women's Clothing""]","[""ZO0046600466"",""ZO0503305033""]","45.98",2
"2019-11-11T02:48:29.000Z","[""Women's Accessories"",""Women's Clothing""]","[""ZO0077200772"",""ZO0643006430""]","21.98",2
"2019-11-11T02:41:17.000Z","[""Men's Clothing"",""Men's Accessories""]","[""ZO0588805888"",""ZO0314903149""]","85.98",2
"2019-11-11T02:38:24.000Z","[""Women's Shoes""]","[""ZO0365303653"",""ZO0235802358""]","91.98",2
"2019-11-11T02:31:12.000Z","[""Men's Clothing""]","[""ZO0285402854"",""ZO0538605386""]","86.98",2
"2019-11-11T02:25:26.000Z","[""Women's Shoes""]","[""ZO0242302423"",""ZO0676006760""]","134.98",2
"2019-11-11T02:18:14.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0133601336"",""ZO0643906439""]","56.98",2
"2019-11-11T02:11:02.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0643206432"",""ZO0140101401""]","41.98",2
"2019-11-11T01:36:29.000Z","[""Women's Shoes""]","[""ZO0023600236"",""ZO0704307043""]","132.98",2
"2019-11-11T01:32:10.000Z","[""Women's Clothing""]","[""ZO0048900489"",""ZO0228702287""]","74.98",2
"2019-11-11T01:30:43.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0014800148"",""ZO0154501545""]","66.98",2
"2019-11-11T01:24:58.000Z","[""Men's Clothing""]","[""ZO0616606166"",""ZO0592205922""]","31.98",2
"2019-11-11T01:16:19.000Z","[""Women's Clothing"",""Women's Accessories""]","[""ZO0060200602"",""ZO0076300763""]","24.98",2
"2019-11-11T01:00:29.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0684906849"",""ZO0575905759""]","99.98",2
"2019-11-11T00:54:43.000Z","[""Men's Clothing""]","[""ZO0448604486"",""ZO0450704507""]","92.98",2
"2019-11-11T00:30:14.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0346503465"",""ZO0678406784""]","107.98",2
"2019-11-11T00:23:02.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0641706417"",""ZO0382303823""]","86.98",2
"2019-11-11T00:18:43.000Z","[""Men's Clothing""]","[""ZO0621606216"",""ZO0628806288""]","70.98",2
"2019-11-10T23:47:02.000Z","[""Women's Clothing""]","[""ZO0172401724"",""ZO0184901849""]","84.98",2
"2019-11-10T23:45:36.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0017800178"",""ZO0229602296""]","61.98",2
"2019-11-10T23:31:12.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0687206872"",""ZO0422304223""]","82.98",2
"2019-11-10T23:24:00.000Z","[""Women's Shoes""]","[""ZO0131501315"",""ZO0668806688""]","95.98",2
"2019-11-10T23:09:36.000Z","[""Men's Shoes"",""Men's Accessories""]","[""ZO0255602556"",""ZO0468304683""]","94.98",2
"2019-11-10T23:06:43.000Z","[""Men's Clothing""]","[""ZO0582705827"",""ZO0111801118""]","48.98",2
"2019-11-10T23:05:17.000Z","[""Women's Accessories""]","[""ZO0303503035"",""ZO0197601976""]","45.98",2
"2019-11-10T22:42:14.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0323303233"",""ZO0172101721""]","74.98",2
"2019-11-10T22:40:48.000Z","[""Men's Clothing""]","[""ZO0614906149"",""ZO0430404304""]","66.98",2
"2019-11-10T22:40:48.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0235202352"",""ZO0135001350""]","70.98",2
"2019-11-10T22:36:29.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0406604066"",""ZO0576805768""]","74.98",2
"2019-11-10T22:35:02.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0102001020"",""ZO0252402524""]","99.98",2
"2019-11-10T22:26:24.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0403504035"",""ZO0588705887""]","68.98",2
"2019-11-10T22:16:19.000Z","[""Men's Accessories"",""Men's Shoes""]","[""ZO0316303163"",""ZO0401004010""]","144.98",2
"2019-11-10T21:46:05.000Z","[""Women's Accessories"",""Women's Shoes""]","[""ZO0203802038"",""ZO0014900149""]","54.98",2
"2019-11-10T21:30:14.000Z","[""Men's Clothing""]","[""ZO0441404414"",""ZO0430504305""]","70.98",2
"2019-11-10T21:28:48.000Z","[""Men's Shoes""]","[""ZO0693306933"",""ZO0514605146""]","95.98",2
"2019-11-10T21:24:29.000Z","[""Men's Clothing""]","[""ZO0624906249"",""ZO0411604116""]","74.98",2
"2019-11-10T21:10:05.000Z","[""Men's Clothing""]","[""ZO0615506155"",""ZO0445304453""]","25.98",2
"2019-11-10T21:10:05.000Z","[""Men's Clothing""]","[""ZO0118501185"",""ZO0561905619""]","22.98",2
"2019-11-10T20:55:41.000Z","[""Men's Accessories"",""Men's Shoes""]","[""ZO0316903169"",""ZO0400504005""]","107.98",2
"2019-11-10T20:39:50.000Z","[""Women's Clothing""]","[""ZO0069000690"",""ZO0490004900""]","49.98",2
"2019-11-10T20:24:00.000Z","[""Women's Shoes"",""Women's Accessories""]","[""ZO0324703247"",""ZO0088600886""]","89.98",2
"2019-11-10T20:22:34.000Z","[""Men's Shoes""]","[""ZO0690306903"",""ZO0521005210""]","126.98",2
"2019-11-10T20:16:48.000Z","[""Men's Clothing""]","[""ZO0549805498"",""ZO0541205412""]","27.98",2
"2019-11-10T20:12:29.000Z","[""Men's Clothing""]","[""ZO0118701187"",""ZO0123901239""]","45.98",2
"2019-11-10T19:48:00.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0681106811"",""ZO0286402864""]","92.98",2
"2019-11-10T19:35:02.000Z","[""Women's Accessories"",""Women's Clothing""]","[""ZO0697006970"",""ZO0711407114""]","80.98",2
"2019-11-10T19:26:24.000Z","[""Women's Clothing"",""Women's Accessories""]","[""ZO0489804898"",""ZO0695006950""]","30.98",2
"2019-11-10T19:14:53.000Z","[""Men's Clothing""]","[""ZO0280802808"",""ZO0549005490""]","32.98",2
"2019-11-10T18:54:43.000Z","[""Women's Clothing""]","[""ZO0225302253"",""ZO0183101831""]","41.98",2
"2019-11-10T18:48:58.000Z","[""Women's Clothing""]","[""ZO0354203542"",""ZO0338503385""]","174.98",2
"2019-11-10T18:40:19.000Z","[""Women's Clothing""]","[""ZO0180601806"",""ZO0710007100""]","36.98",2
"2019-11-10T18:31:41.000Z","[""Men's Clothing""]","[""ZO0526805268"",""ZO0478104781""]","45.98",2
"2019-11-10T18:12:58.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0134101341"",""ZO0062400624""]","51.98",2
"2019-11-10T17:52:48.000Z","[""Women's Clothing""]","[""ZO0171601716"",""ZO0214602146""]","35.98",2
"2019-11-10T17:48:29.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0362903629"",""ZO0048100481""]","191.98",2
"2019-11-10T17:34:05.000Z","[""Women's Shoes""]","[""ZO0026800268"",""ZO0003600036""]","49.98",2
"2019-11-10T17:32:38.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0520605206"",""ZO0432204322""]","107.98",2
"2019-11-10T17:24:00.000Z","[""Men's Clothing"",""Men's Accessories""]","[""ZO0557305573"",""ZO0607806078""]","28.98",2
"2019-11-10T17:05:17.000Z","[""Men's Clothing"",""Men's Shoes""]","[""ZO0286502865"",""ZO0394703947""]","79.98",2
"2019-11-10T16:52:19.000Z","[""Women's Accessories"",""Women's Shoes""]","[""ZO0698406984"",""ZO0704207042""]","159.98",2
"2019-11-10T16:40:48.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0322403224"",""ZO0227802278""]","78.98",2
"2019-11-10T16:36:29.000Z","[""Women's Accessories""]","[""ZO0303803038"",""ZO0192501925""]","32.98",2
"2019-11-10T16:33:36.000Z","[""Women's Clothing""]","[""ZO0705607056"",""ZO0334703347""]","66.98",2
"2019-11-10T16:27:50.000Z","[""Women's Clothing""]","[""ZO0215502155"",""ZO0168101681""]","24.98",2
"2019-11-10T16:19:12.000Z","[""Women's Accessories"",""Women's Shoes""]","[""ZO0192401924"",""ZO0366703667""]","52.98",2
"2019-11-10T16:00:29.000Z","[""Men's Clothing""]","[""ZO0553205532"",""ZO0526205262""]","35.98",2
"2019-11-10T15:59:02.000Z","[""Men's Clothing"",""Men's Shoes""]","[""ZO0432004320"",""ZO0403504035""]","134.98",2
"2019-11-10T15:34:34.000Z","[""Women's Shoes"",""Women's Accessories""]","[""ZO0374603746"",""ZO0697106971""]","164.98",2
"2019-11-10T15:34:34.000Z","[""Men's Clothing""]","[""ZO0475004750"",""ZO0412304123""]","36.98",2
"2019-11-10T15:28:48.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0266002660"",""ZO0031900319""]","57.98",2
"2019-11-10T15:17:17.000Z","[""Women's Clothing""]","[""ZO0259702597"",""ZO0640606406""]","47.98",2
"2019-11-10T15:07:12.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0022100221"",""ZO0172301723""]","57.98",2
"2019-11-10T14:52:48.000Z","[""Men's Clothing""]","[""ZO0452704527"",""ZO0122201222""]","61.98",2
"2019-11-10T14:44:10.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0704907049"",""ZO0024700247""]","53.98",2
"2019-11-10T14:39:50.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0665006650"",""ZO0709407094""]","81.98",2
"2019-11-10T14:35:31.000Z","[""Women's Clothing""]","[""ZO0218802188"",""ZO0492604926""]","27.98",2
"2019-11-10T14:31:12.000Z","[""Men's Clothing"",""Men's Shoes""]","[""ZO0556805568"",""ZO0481504815""]","164.98",2
"2019-11-10T14:15:22.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0335603356"",""ZO0236502365""]","104.98",2
"2019-11-10T14:11:02.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0509705097"",""ZO0120501205""]","33.98",2
"2019-11-10T14:09:36.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0384303843"",""ZO0273702737""]","97.98",2
"2019-11-10T14:02:24.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0071700717"",""ZO0364303643""]","149.98",2
"2019-11-10T13:46:34.000Z","[""Women's Clothing""]","[""ZO0263402634"",""ZO0499404994""]","53.98",2
"2019-11-10T13:40:48.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0709007090"",""ZO0362103621""]","126.98",2
"2019-11-10T13:35:02.000Z","[""Men's Clothing""]","[""ZO0585205852"",""ZO0418104181""]","45.98",2
"2019-11-10T13:20:38.000Z","[""Women's Shoes""]","[""ZO0373303733"",""ZO0131201312""]","91.98",2
"2019-11-10T13:16:19.000Z","[""Women's Clothing""]","[""ZO0222102221"",""ZO0332103321"",""ZO0182701827"",""ZO0230502305""]","115.96",4
"2019-11-10T13:07:41.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0108401084"",""ZO0139301393""]","65.98",2
"2019-11-10T13:03:22.000Z","[""Men's Clothing"",""Men's Shoes""]","[""ZO0531205312"",""ZO0684706847""]","99.98",2
"2019-11-10T12:57:36.000Z","[""Women's Accessories"",""Women's Shoes""]","[""ZO0697406974"",""ZO0370303703"",""ZO0368103681"",""ZO0013800138""]","167.96",4
"2019-11-10T12:54:43.000Z","[""Men's Clothing""]","[""ZO0415004150"",""ZO0125501255""]","55.98",2
"2019-11-10T12:47:31.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0648206482"",""ZO0496104961"",""ZO0142601426"",""ZO0491504915""]","97.96",4
"2019-11-10T12:40:19.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0405704057"",""ZO0411704117""]","87.98",2
"2019-11-10T12:27:22.000Z","[""Women's Accessories"",""Women's Clothing""]","[""ZO0211702117"",""ZO0499004990""]","41.98",2
"2019-11-10T12:20:10.000Z","[""Men's Accessories"",""Men's Shoes""]","[""ZO0470304703"",""ZO0406204062""]","144.98",2
"2019-11-10T12:08:38.000Z","[""Women's Clothing""]","[""ZO0162401624"",""ZO0156001560""]","36.98",2
"2019-11-10T12:04:19.000Z","[""Women's Clothing"",""Women's Accessories""]","[""ZO0333103331"",""ZO0694806948""]","134.98",2
"2019-11-10T12:01:26.000Z","[""Women's Shoes"",""Women's Accessories""]","[""ZO0237702377"",""ZO0304303043""]","73.98",2
"2019-11-10T11:38:24.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0681206812"",""ZO0441904419""]","71.98",2
"2019-11-10T11:24:00.000Z","[""Women's Accessories"",""Women's Clothing""]","[""ZO0091900919"",""ZO0660006600"",""ZO0197001970"",""ZO0074600746""]","83.97",4
"2019-11-10T11:13:55.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0015500155"",""ZO0650806508""]","71.98",2
"2019-11-10T11:11:02.000Z","[""Men's Clothing"",""Men's Accessories""]","[""ZO0664606646"",""ZO0460404604""]","21.98",2
"2019-11-10T10:46:34.000Z","[""Women's Accessories"",""Women's Shoes""]","[""ZO0304603046"",""ZO0370603706""]","63.98",2
"2019-11-10T10:45:07.000Z","[""Women's Clothing""]","[""ZO0496704967"",""ZO0049700497""]","74.98",2
"2019-11-10T10:43:41.000Z","[""Men's Clothing""]","[""ZO0474704747"",""ZO0622006220""]","36.98",2
"2019-11-10T10:17:46.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0486004860"",""ZO0177901779"",""ZO0680506805"",""ZO0340503405""]","172.96",4
"2019-11-10T10:16:19.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0390003900"",""ZO0287902879""]","83.98",2
"2019-11-10T10:14:53.000Z","[""Women's Accessories"",""Women's Clothing""]","[""ZO0093600936"",""ZO0145301453""]","53.98",2
"2019-11-10T09:44:38.000Z","[""Women's Shoes"",""Women's Accessories""]","[""ZO0321603216"",""ZO0078000780""]","60.98",2
"2019-11-10T09:43:12.000Z","[""Men's Clothing""]","[""ZO0409304093"",""ZO0436904369""]","85.98",2
"2019-11-10T09:21:36.000Z","[""Women's Clothing""]","[""ZO0655106551"",""ZO0349403494""]","57.98",2
"2019-11-10T09:10:05.000Z","[""Women's Accessories"",""Women's Shoes""]","[""ZO0093400934"",""ZO0679406794""]","93.98",2
"2019-11-10T09:04:19.000Z","[""Men's Clothing"",""Men's Accessories""]","[""ZO0593805938"",""ZO0701407014""]","39.98",2
"2019-11-10T08:52:48.000Z","[""Women's Clothing""]","[""ZO0260702607"",""ZO0495804958""]","74.98",2
"2019-11-10T08:36:58.000Z","[""Women's Clothing""]","[""ZO0178501785"",""ZO0503805038""]","70.98",2
"2019-11-10T08:25:26.000Z","[""Women's Clothing""]","[""ZO0328703287"",""ZO0351003510""]","111.98",2
"2019-11-10T08:24:00.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0236702367"",""ZO0660706607""]","61.98",2
"2019-11-10T08:22:34.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0269902699"",""ZO0667906679""]","100.98",2
"2019-11-10T08:02:24.000Z","[""Women's Clothing""]","[""ZO0050400504"",""ZO0660006600""]","53.98",2
"2019-11-10T07:46:34.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0681906819"",""ZO0549705497""]","90.98",2
"2019-11-10T07:39:22.000Z","[""Men's Clothing"",""Men's Accessories""]","[""ZO0422304223"",""ZO0600506005""]","40.98",2
"2019-11-10T07:23:31.000Z","[""Men's Clothing""]","[""ZO0444104441"",""ZO0476804768""]","32.98",2
"2019-11-10T07:16:19.000Z","[""Women's Accessories"",""Women's Clothing""]","[""ZO0082900829"",""ZO0347903479""]","50.98",2
"2019-11-10T07:16:19.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0399703997"",""ZO0565805658""]","81.98",2
"2019-11-10T07:09:07.000Z","[""Women's Clothing"",""Women's Accessories""]","[""ZO0229402294"",""ZO0303303033""]","48.98",2
"2019-11-10T06:59:02.000Z","[""Women's Clothing""]","[""ZO0221002210"",""ZO0263702637""]","29.98",2
"2019-11-10T06:51:50.000Z","[""Women's Shoes"",""Women's Accessories""]","[""ZO0246602466"",""ZO0195201952""]","86.98",2
"2019-11-10T06:17:17.000Z","[""Men's Clothing""]","[""ZO0479104791"",""ZO0125301253"",""ZO0459004590"",""ZO0549905499""]","84.96",4
"2019-11-10T06:11:31.000Z","[""Men's Clothing""]","[""ZO0542905429"",""ZO0423604236""]","101.98",2
"2019-11-10T06:08:38.000Z","[""Men's Clothing"",""Men's Shoes""]","[""ZO0534405344"",""ZO0512105121""]","53.98",2
"2019-11-10T06:05:46.000Z","[""Men's Clothing""]","[""ZO0281102811"",""ZO0555705557""]","47.98",2
"2019-11-10T06:05:46.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0507905079"",""ZO0430804308""]","66.98",2
"2019-11-10T05:51:22.000Z","[""Men's Clothing""]","[""ZO0539205392"",""ZO0577705777""]","61.98",2
"2019-11-10T05:41:17.000Z","[""Men's Accessories"",""Men's Clothing""]","[""ZO0605506055"",""ZO0547505475""]","28.98",2
"2019-11-10T05:35:31.000Z","[""Men's Accessories"",""Men's Shoes""]","[""ZO0311203112"",""ZO0395703957""]","53.98",2
"2019-11-10T05:21:07.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0249702497"",""ZO0487404874""]","99.98",2
"2019-11-10T05:13:55.000Z","[""Women's Clothing""]","[""ZO0147201472"",""ZO0152201522""]","57.98",2
"2019-11-10T05:00:58.000Z","[""Women's Clothing""]","[""ZO0711807118"",""ZO0073100731""]","61.98",2
"2019-11-10T04:35:02.000Z","[""Women's Shoes"",""Women's Accessories""]","[""ZO0243902439"",""ZO0208702087""]","139.98",2
"2019-11-10T04:20:38.000Z","[""Women's Clothing"",""Women's Shoes""]","[""ZO0032300323"",""ZO0236302363""]","82.98",2
